Sector_name,Country_here,d2014_2018,d2018_2022,d2022_2023,Grid,d2014_2019,d2019_2023,d2023_2024,d2018_2024,d2024_2025
"Digital network","AUS",,,,"STRI2023",,,,,
"Computer services","AUS",-9.303658,0,-9.781363,"STRI2023",,,,,
"Telecommunication","AUS",-5.839941,0,-4.840681,"STRI2023",,,,,
"Broadcasting","AUS",-8.280017,0,-4.718918,"STRI2023",,,,,
"Motion pictures","AUS",-9.466673,0,-8.394693,"STRI2023",,,,,
"Sound recording","AUS",-7.87671,0,-6.096657,"STRI2023",,,,,
"Logistics and related services","AUS",,,,"STRI2023",,,,,
"Air transport","AUS",-2.381758,0,-1.559782,"STRI2023",,,,,
"Maritime transport","AUS",-8.020473,0,-2.040821,"STRI2023",,,,,
"Road freight transport","AUS",-10.92784,0,-13.65741,"STRI2023",,,,,
"Rail freight transport","AUS",-10.59064,0,-3.41685,"STRI2023",,,,,
"Courier services","AUS",-3.998368,0,-1.03082,"STRI2023",,,,,
"Distribution services","AUS",-8.740335,0,-5.940811,"STRI2023",,,,,
"Cargo-handling","AUS",-9.641873,0,-3.81098,"STRI2023",,,,,
"Storage and warehouse","AUS",-8.169772,0,-7.193228,"STRI2023",,,,,
"Freight-forwarding","AUS",-7.142858,0,-7.051283,"STRI2023",,,,,
"Customs brokerage","AUS",-9.629632,0,-6.557382,"STRI2023",,,,,
"Market bridging and supporting services","AUS",,,,"STRI2023",,,,,
"Legal services","AUS",-8.464684,0,-4.528064,"STRI2023",,,,,
"Accounting services","AUS",-5.55109,0,-5.536624,"STRI2023",,,,,
"Commercial banking","AUS",-7.942235,0,-3.137251,"STRI2023",,,,,
"Insurance","AUS",-4.919147,-1.529235,-2.902755,"STRI2023",,,,,
"Physical infrastructure services","AUS",,,,"STRI2023",,,,,
"Construction","AUS",-6.396815,8.188988,-8.984967,"STRI2023",,,,,
"Architecture services","AUS",-4.306222,0,-11,"STRI2023",,,,,
"Engineering services","AUS",-7.664501,0,-10.9632,"STRI2023",,,,,
"Digital network","AUT",,,,"STRI2023",,,,,
"Computer services","AUT",0,7.55611,0,"STRI2023",,,,,
"Telecommunication","AUT",6.438261,19.27348,0,"STRI2023",,,,,
"Broadcasting","AUT",0,0,0,"STRI2023",,,,,
"Motion pictures","AUT",0,7.821544,0,"STRI2023",,,,,
"Sound recording","AUT",0,9.111619,0,"STRI2023",,,,,
"Logistics and related services","AUT",,,,"STRI2023",,,,,
"Air transport","AUT",0,0,0,"STRI2023",,,,,
"Road freight transport","AUT",0,0,0,"STRI2023",,,,,
"Rail freight transport","AUT",0,0,0,"STRI2023",,,,,
"Courier services","AUT",0,-6.959383,0,"STRI2023",,,,,
"Distribution services","AUT",0,7.189852,0,"STRI2023",,,,,
"Cargo-handling","AUT",0,10.2489,0,"STRI2023",,,,,
"Storage and warehouse","AUT",6.498137,6.101645,0,"STRI2023",,,,,
"Freight-forwarding","AUT",0,6.557378,0,"STRI2023",,,,,
"Customs brokerage","AUT",0,11.07955,0,"STRI2023",,,,,
"Market bridging and supporting services","AUT",,,,"STRI2023",,,,,
"Legal services","AUT",0,27.22152,0,"STRI2023",,,,,
"Accounting services","AUT",0,3.729733,0,"STRI2023",,,,,
"Commercial banking","AUT",0,9.523805,0,"STRI2023",,,,,
"Insurance","AUT",0,4.748787,0,"STRI2023",,,,,
"Physical infrastructure services","AUT",,,,"STRI2023",,,,,
"Construction","AUT",0,0,0,"STRI2023",,,,,
"Architecture services","AUT",0,0,0,"STRI2023",,,,,
"Engineering services","AUT",0,0,0,"STRI2023",,,,,
"Digital network","BEL",,,,"STRI2023",,,,,
"Computer services","BEL",0,4.934926,6.035088,"STRI2023",,,,,
"Telecommunication","BEL",0,8.857554,13.89938,"STRI2023",,,,,
"Broadcasting","BEL",0,0,9.147603,"STRI2023",,,,,
"Motion pictures","BEL",0,6.81131,6.707594,"STRI2023",,,,,
"Sound recording","BEL",0,7.681231,5.12706,"STRI2023",,,,,
"Logistics and related services","BEL",,,,"STRI2023",,,,,
"Air transport","BEL",0,1.09817,0,"STRI2023",,,,,
"Maritime transport","BEL",0,3.861515,6.025656,"STRI2023",,,,,
"Road freight transport","BEL",0,4.422744,5.830587,"STRI2023",,,,,
"Rail freight transport","BEL",-14.57432,3.209461,8.510638,"STRI2023",,,,,
"Courier services","BEL",0,4.831635,8.50884,"STRI2023",,,,,
"Distribution services","BEL",0,-3.366418,6.725387,"STRI2023",,,,,
"Cargo-handling","BEL",-2.829162,5.263161,7.446802,"STRI2023",,,,,
"Storage and warehouse","BEL",7.062877,3.362842,6.382316,"STRI2023",,,,,
"Freight-forwarding","BEL",0,1.714284,6.741574,"STRI2023",,,,,
"Customs brokerage","BEL",0,3.975898,9.038241,"STRI2023",,,,,
"Market bridging and supporting services","BEL",,,,"STRI2023",,,,,
"Legal services","BEL",0,-6.85871,7.118314,"STRI2023",,,,,
"Accounting services","BEL",0,3.094059,2.761106,"STRI2023",,,,,
"Commercial banking","BEL",0,2.439028,7.482989,"STRI2023",,,,,
"Insurance","BEL",0,1.792676,5.543645,"STRI2023",,,,,
"Physical infrastructure services","BEL",,,,"STRI2023",,,,,
"Construction","BEL",0,3.799698,4.686868,"STRI2023",,,,,
"Architecture services","BEL",0,4.810721,3.386011,"STRI2023",,,,,
"Engineering services","BEL",0,4.105099,5.573077,"STRI2023",,,,,
"Digital network","BRA",,,,"STRI2023",,,,,
"Computer services","BRA",-10.37074,-19.14303,0,"STRI2023",,,,,
"Telecommunication","BRA",-8.784556,-12.93773,0,"STRI2023",,,,,
"Broadcasting","BRA",2.076178,-9.639181,0,"STRI2023",,,,,
"Motion pictures","BRA",-.7629617,-15.80064,0,"STRI2023",,,,,
"Sound recording","BRA",-5.548659,-16.57168,0,"STRI2023",,,,,
"Logistics and related services","BRA",,,,"STRI2023",,,,,
"Air transport","BRA",-53.03319,-20.92811,0,"STRI2023",,,,,
"Maritime transport","BRA",-6.746759,-17.54212,0,"STRI2023",,,,,
"Road freight transport","BRA",14.02818,-15.11858,0,"STRI2023",,,,,
"Rail freight transport","BRA",-1.344746,-18.58736,0,"STRI2023",,,,,
"Courier services","BRA",1.07711,-11.1714,0,"STRI2023",,,,,
"Distribution services","BRA",-5.473353,-25.36068,0,"STRI2023",,,,,
"Cargo-handling","BRA",-7.754554,-18.64035,0,"STRI2023",,,,,
"Storage and warehouse","BRA",-9.988708,-14.92358,0,"STRI2023",,,,,
"Freight-forwarding","BRA",-17.93722,-20.21857,0,"STRI2023",,,,,
"Customs brokerage","BRA",-6.315775,-24.71911,0,"STRI2023",,,,,
"Market bridging and supporting services","BRA",,,,"STRI2023",,,,,
"Legal services","BRA",1.804557,-9.926366,0,"STRI2023",,,,,
"Accounting services","BRA",-5.436345,-3.681288,0,"STRI2023",,,,,
"Commercial banking","BRA",-.7999908,-31.45162,0,"STRI2023",,,,,
"Insurance","BRA",-.5167281,-6.218851,-8.128135,"STRI2023",,,,,
"Physical infrastructure services","BRA",,,,"STRI2023",,,,,
"Construction","BRA",-11.25571,-12.59902,0,"STRI2023",,,,,
"Architecture services","BRA",-6.723593,-8.009146,0,"STRI2023",,,,,
"Engineering services","BRA",-10.07752,-14.40162,0,"STRI2023",,,,,
"Digital network","CAN",,,,"STRI2023",,,,,
"Computer services","CAN",0,0,0,"STRI2023",,,,,
"Telecommunication","CAN",0,-6.267125,0,"STRI2023",,,,,
"Broadcasting","CAN",0,0,0,"STRI2023",,,,,
"Motion pictures","CAN",0,0,0,"STRI2023",,,,,
"Sound recording","CAN",0,0,0,"STRI2023",,,,,
"Logistics and related services","CAN",,,,"STRI2023",,,,,
"Air transport","CAN",-7.454244,0,0,"STRI2023",,,,,
"Maritime transport","CAN",0,0,0,"STRI2023",,,,,
"Road freight transport","CAN",0,0,0,"STRI2023",,,,,
"Rail freight transport","CAN",0,0,0,"STRI2023",,,,,
"Courier services","CAN",0,0,0,"STRI2023",,,,,
"Distribution services","CAN",0,-2.463942,0,"STRI2023",,,,,
"Cargo-handling","CAN",0,-1.780818,0,"STRI2023",,,,,
"Storage and warehouse","CAN",0,-5.208751,0,"STRI2023",,,,,
"Freight-forwarding","CAN",0,0,0,"STRI2023",,,,,
"Customs brokerage","CAN",0,0,0,"STRI2023",,,,,
"Market bridging and supporting services","CAN",,,,"STRI2023",,,,,
"Legal services","CAN",0,0,0,"STRI2023",,,,,
"Accounting services","CAN",0,0,0,"STRI2023",,,,,
"Commercial banking","CAN",0,0,0,"STRI2023",,,,,
"Insurance","CAN",0,0,0,"STRI2023",,,,,
"Physical infrastructure services","CAN",,,,"STRI2023",,,,,
"Construction","CAN",0,0,0,"STRI2023",,,,,
"Architecture services","CAN",0,0,0,"STRI2023",,,,,
"Engineering services","CAN",0,0,-7.059586,"STRI2023",,,,,
"Digital network","CHE",,,,"STRI2023",,,,,
"Computer services","CHE",0,5.213913,0,"STRI2023",,,,,
"Telecommunication","CHE",0,2.743064,0,"STRI2023",,,,,
"Broadcasting","CHE",0,2.839653,0,"STRI2023",,,,,
"Motion pictures","CHE",0,6.515437,0,"STRI2023",,,,,
"Sound recording","CHE",0,8.667391,0,"STRI2023",,,,,
"Logistics and related services","CHE",,,,"STRI2023",,,,,
"Air transport","CHE",0,2.350654,0,"STRI2023",,,,,
"Road freight transport","CHE",0,4.586061,0,"STRI2023",,,,,
"Rail freight transport","CHE",0,2.503289,0,"STRI2023",,,,,
"Courier services","CHE",0,2.439805,0,"STRI2023",,,,,
"Distribution services","CHE",0,3.806785,0,"STRI2023",,,,,
"Cargo-handling","CHE",0,5.23385,0,"STRI2023",,,,,
"Storage and warehouse","CHE",0,3.389826,0,"STRI2023",,,,,
"Freight-forwarding","CHE",0,1.485153,0,"STRI2023",,,,,
"Customs brokerage","CHE",0,4.269083,0,"STRI2023",,,,,
"Market bridging and supporting services","CHE",,,,"STRI2023",,,,,
"Legal services","CHE",0,2.244479,0,"STRI2023",,,,,
"Accounting services","CHE",0,3.904216,0,"STRI2023",,,,,
"Commercial banking","CHE",0,1.876673,0,"STRI2023",,,,,
"Insurance","CHE",0,1.542798,0,"STRI2023",,,,,
"Physical infrastructure services","CHE",,,,"STRI2023",,,,,
"Construction","CHE",0,4.348243,0,"STRI2023",,,,,
"Architecture services","CHE",0,7.587065,0,"STRI2023",,,,,
"Engineering services","CHE",0,4.430007,0,"STRI2023",,,,,
"Digital network","CHL",,,,"STRI2023",,,,,
"Computer services","CHL",0,36.89166,0,"STRI2023",,,,,
"Telecommunication","CHL",0,1.798055,0,"STRI2023",,,,,
"Broadcasting","CHL",0,3.094601,0,"STRI2023",,,,,
"Motion pictures","CHL",0,10.91258,0,"STRI2023",,,,,
"Sound recording","CHL",0,19.12443,0,"STRI2023",,,,,
"Logistics and related services","CHL",,,,"STRI2023",,,,,
"Air transport","CHL",0,5.61986,0,"STRI2023",,,,,
"Maritime transport","CHL",0,20.26022,0,"STRI2023",,,,,
