Sector_name,country_here,stri_score,stri_score_intraeea,Grid
Digital network,AUT,,,STRI2023
Computer services,AUT,0.21949544548988342,0.05960244685411453,STRI2023
Telecommunication,AUT,0.18839077651500702,0.06280334293842316,STRI2023
Broadcasting,AUT,0.34833577275276184,0.06810986995697021,STRI2023
Motion pictures,AUT,0.1822187304496765,0.021345343440771103,STRI2023
Sound recording,AUT,0.21057260036468506,0.022200241684913635,STRI2023
Logistics and related services,AUT,,,STRI2023
Air transport,AUT,0.37557366490364075,0.13526275753974915,STRI2023
Road freight transport,AUT,0.21589437127113342,0.053585298359394073,STRI2023
Rail freight transport,AUT,0.17188003659248352,0.077071912586689,STRI2023
Courier services,AUT,0.1203555166721344,0.045732803642749786,STRI2023
Distribution services,AUT,0.1826348900794983,0.08959853649139404,STRI2023
Cargo-handling,AUT,0.19077780842781067,0.03699012100696564,STRI2023
Storage and warehouse,AUT,0.24332764744758606,0.09117747098207474,STRI2023
Freight-forwarding,AUT,0.23636363446712494,0.05090909078717232,STRI2023
Customs brokerage,AUT,0.18460813164710999,0.046506136655807495,STRI2023
Market bridging and supporting services,AUT,,,STRI2023
Legal services,AUT,0.38110411167144775,0.05323835462331772,STRI2023
Accounting services,AUT,0.2904934883117676,0.1139872819185257,STRI2023
Commercial banking,AUT,0.17388315498828888,0.04948453605175018,STRI2023
Insurance,AUT,0.2012450098991394,0.019204597920179367,STRI2023
Physical infrastructure services,AUT,,,STRI2023
Construction,AUT,0.19361074268817902,0.04002441465854645,STRI2023
Architecture services,AUT,0.26402345299720764,0.12797412276268005,STRI2023
Engineering services,AUT,0.25326868891716003,0.07179892063140869,STRI2023
Digital network,BEL,,,STRI2023
Computer services,BEL,0.2709282636642456,0.04414655640721321,STRI2023
Telecommunication,BEL,0.23602145910263062,0.07235737890005112,STRI2023
Broadcasting,BEL,0.22460854053497314,0.06810986995697021,STRI2023
Motion pictures,BEL,0.22118866443634033,0.03250758722424507,STRI2023
Sound recording,BEL,0.25914934277534485,0.05044510215520859,STRI2023
Logistics and related services,BEL,,,STRI2023
Air transport,BEL,0.4420245587825775,0.15062206983566284,STRI2023
Maritime transport,BEL,0.26982057094573975,0.029690049588680267,STRI2023
Road freight transport,BEL,0.2490292489528656,0.04970230162143707,STRI2023
Rail freight transport,BEL,0.21380199491977692,0.051273781806230545,STRI2023
Courier services,BEL,0.2504828870296478,0.07023603469133377,STRI2023
Distribution services,BEL,0.20028993487358093,0.07356338202953339,STRI2023
Cargo-handling,BEL,0.25589054822921753,0.04991132766008377,STRI2023
Storage and warehouse,BEL,0.23324233293533325,0.06564846634864807,STRI2023
Freight-forwarding,BEL,0.23030301928520203,0.0448484867811203,STRI2023
Customs brokerage,BEL,0.2221435308456421,0.057837583124637604,STRI2023
Market bridging and supporting services,BEL,,,STRI2023
Legal services,BEL,0.20451778173446655,0.06935983151197433,STRI2023
Accounting services,BEL,0.3887375295162201,0.1086890697479248,STRI2023
Commercial banking,BEL,0.21718212962150574,0.059106528759002686,STRI2023
Insurance,BEL,0.1736982762813568,0.02464842051267624,STRI2023
Physical infrastructure services,BEL,,,STRI2023
Construction,BEL,0.2636076807975769,0.04266965016722679,STRI2023
Architecture services,BEL,0.309529185295105,0.16447216272354126,STRI2023
Engineering services,BEL,0.2263300120830536,0.03944995254278183,STRI2023
Digital network,CZE,,,STRI2023
Computer services,CZE,0.12813019752502441,0.01473934669047594,STRI2023
Telecommunication,CZE,0.1504436880350113,0.05732421576976776,STRI2023
Broadcasting,CZE,0.15829554200172424,0.048429880291223526,STRI2023
Motion pictures,CZE,0.08959169685840607,0.010183099657297134,STRI2023
Sound recording,CZE,0.10638532042503357,0.013188262470066547,STRI2023
Logistics and related services,CZE,,,STRI2023
Air transport,CZE,0.39584049582481384,0.14112529158592224,STRI2023
Road freight transport,CZE,0.12891533970832825,0.019156096503138542,STRI2023
Rail freight transport,CZE,0.15672363340854645,0.06933247298002243,STRI2023
Courier services,CZE,0.0966707095503807,0.03601008281111717,STRI2023
Distribution services,CZE,0.13032285869121552,0.07349737733602524,STRI2023
Cargo-handling,CZE,0.09830250591039658,0.0339498370885849,STRI2023
Storage and warehouse,CZE,0.09317406266927719,0.043020475655794144,STRI2023
Freight-forwarding,CZE,0.0896969735622406,0.01818181946873665,STRI2023
Customs brokerage,CZE,0.09324833750724792,0.035174690186977386,STRI2023
Market bridging and supporting services,CZE,,,STRI2023
Legal services,CZE,0.2536320388317108,0.15118567645549774,STRI2023
Accounting services,CZE,0.13366636633872986,0.06418407708406448,STRI2023
Commercial banking,CZE,0.08865979313850403,0.019243985414505005,STRI2023
Insurance,CZE,0.0975099503993988,0.009123443625867367,STRI2023
Physical infrastructure services,CZE,,,STRI2023
Construction,CZE,0.15775765478610992,0.023237358778715134,STRI2023
Architecture services,CZE,0.1466546505689621,0.07137907296419144,STRI2023
Engineering services,CZE,0.15430568158626556,0.020175833255052567,STRI2023
Digital network,DEU,,,STRI2023
Computer services,DEU,0.16016188263893127,0.02947869338095188,STRI2023
Telecommunication,DEU,0.11855409294366837,0.02866210788488388,STRI2023
Broadcasting,DEU,0.1701035350561142,0.04346710070967674,STRI2023
Motion pictures,DEU,0.13649269938468933,0.015274649485945702,STRI2023
Sound recording,DEU,0.12199142575263977,0.013188262470066547,STRI2023
Logistics and related services,DEU,,,STRI2023
Air transport,DEU,0.37294745445251465,0.14112529158592224,STRI2023
Maritime transport,DEU,0.16215333342552185,0.02251223474740982,STRI2023
Road freight transport,DEU,0.2026922106742859,0.053585298359394073,STRI2023
Rail freight transport,DEU,0.16639792919158936,0.06933247298002243,STRI2023
Courier services,DEU,0.10235048085451126,0.022866401821374893,STRI2023
Distribution services,DEU,0.15058843791484833,0.06681700050830841,STRI2023
Cargo-handling,DEU,0.12845198810100555,0.01646820269525051,STRI2023
Storage and warehouse,DEU,0.14238907396793365,0.04056314006447792,STRI2023
Freight-forwarding,DEU,0.13090908527374268,0.009696969762444496,STRI2023
Customs brokerage,DEU,0.11945230513811111,0.023843247443437576,STRI2023
Market bridging and supporting services,DEU,,,STRI2023
Legal services,DEU,0.18820883333683014,0.07788921147584915,STRI2023
Accounting services,DEU,0.1721162497997284,0.0543445348739624,STRI2023
Commercial banking,DEU,0.13951890170574188,0.0632302388548851,STRI2023
Insurance,DEU,0.10449114441871643,0.009123443625867367,STRI2023
Physical infrastructure services,DEU,,,STRI2023
Construction,DEU,0.153077632188797,0.00909553375095129,STRI2023
Architecture services,DEU,0.1667042225599289,0.10395010560750961,STRI2023
Engineering services,DEU,0.16095580160617828,0.04790351539850235,STRI2023
Digital network,DNK,,,STRI2023
Computer services,DNK,0.17194485664367676,0.01473934669047594,STRI2023
Telecommunication,DNK,0.11612793803215027,0.01910807192325592,STRI2023
Broadcasting,DNK,0.14751434326171875,0.048429880291223526,STRI2023
Motion pictures,DNK,0.10907667130231857,0.010183099657297134,STRI2023
Sound recording,DNK,0.2011210173368454,0.013188262470066547,STRI2023
Logistics and related services,DNK,,,STRI2023
Air transport,DNK,0.37567976117134094,0.13051436841487885,STRI2023
Maritime transport,DNK,0.21468189358711243,0.02251223474740982,STRI2023
Road freight transport,DNK,0.19143152236938477,0.03442919999361038,STRI2023
Rail freight transport,DNK,0.15349887311458588,0.04159948229789734,STRI2023
Courier services,DNK,0.13927717506885529,0.06373784691095352,STRI2023
Distribution services,DNK,0.1261746734380722,0.05122504383325577,STRI2023
Cargo-handling,DNK,0.12921205163002014,0.006587281357496977,STRI2023
Storage and warehouse,DNK,0.14059725403785706,0.04056314006447792,STRI2023
Freight-forwarding,DNK,0.1260606050491333,0.004848484881222248,STRI2023
Customs brokerage,DNK,0.12440982460975647,0.023843247443437576,STRI2023
Market bridging and supporting services,DNK,,,STRI2023
Legal services,DNK,0.214171901345253,0.056050240993499756,STRI2023
Accounting services,DNK,0.2216167151927948,0.06418407708406448,STRI2023
Commercial banking,DNK,0.18144328892230988,0.04810996353626251,STRI2023
Insurance,DNK,0.1529814749956131,0.020011089742183685,STRI2023
Physical infrastructure services,DNK,,,STRI2023
Construction,DNK,0.16925424337387085,0.023237358778715134,STRI2023
Architecture services,DNK,0.12187428772449493,0.06306306272745132,STRI2023
Engineering services,DNK,0.1262398511171341,0.007889990694820881,STRI2023
Digital network,ESP,,,STRI2023
Computer services,ESP,0.08700299263000488,0.01473934669047594,STRI2023
Telecommunication,ESP,0.09099854528903961,0.01910807192325592,STRI2023
Broadcasting,ESP,0.1470865160226822,0.01848207414150238,STRI2023
Motion pictures,ESP,0.09859982132911682,0.010183099657297134,STRI2023
Sound recording,ESP,0.07649192214012146,0.013188262470066547,STRI2023
Logistics and related services,ESP,,,STRI2023
Air transport,ESP,0.35016050934791565,0.13051436841487885,STRI2023
Maritime transport,ESP,0.13311582803726196,0.04567699879407883,STRI2023
Road freight transport,ESP,0.15713176131248474,0.03442919999361038,STRI2023
Rail freight transport,ESP,0.1451144814491272,0.055465977638959885,STRI2023
Courier services,ESP,0.1201590970158577,0.04087144508957863,STRI2023
Distribution services,ESP,0.1276029497385025,0.08199970424175262,STRI2023
Cargo-handling,ESP,0.08588802069425583,0.01950848661363125,STRI2023
Storage and warehouse,ESP,0.10522184520959854,0.043020475655794144,STRI2023
Freight-forwarding,ESP,0.09939394146203995,0.023030303418636322,STRI2023
Customs brokerage,ESP,0.1215769574046135,0.035174690186977386,STRI2023
Market bridging and supporting services,ESP,,,STRI2023
Legal services,ESP,0.21285967528820038,0.056050240993499756,STRI2023
Accounting services,ESP,0.2282773107290268,0.06418407708406448,STRI2023
Commercial banking,ESP,0.0460481122136116,0.009621992707252502,STRI2023
Insurance,ESP,0.13775895535945892,0.025454912334680557,STRI2023
Physical infrastructure services,ESP,,,STRI2023
Construction,ESP,0.10641977190971375,0.023237358778715134,STRI2023
Architecture services,ESP,0.14755575358867645,0.09216909110546112,STRI2023
Engineering services,ESP,0.1237601488828659,0.04407123476266861,STRI2023
Digital network,EST,,,STRI2023
Computer services,EST,0.15815523266792297,0.01473934669047594,STRI2023
Telecommunication,EST,0.14337590336799622,0.02866210788488388,STRI2023
Broadcasting,EST,0.1967998594045639,0.05707196146249771,STRI2023
Motion pictures,EST,0.14109468460083008,0.023401547223329544,STRI2023
Sound recording,EST,0.14891746640205383,0.013188262470066547,STRI2023
Logistics and related services,EST,,,STRI2023
Air transport,EST,0.38522955775260925,0.13581982254981995,STRI2023
Maritime transport,EST,0.2815660536289215,0.05318107455968857,STRI2023
Road freight transport,EST,0.18431270122528076,0.03442919999361038,STRI2023
Rail freight transport,EST,0.224443718791008,0.055465977638959885,STRI2023
Courier services,EST,0.145873561501503,0.045732803642749786,STRI2023
Distribution services,EST,0.13207347691059113,0.04454466700553894,STRI2023
Cargo-handling,EST,0.14720040559768677,0.013174562714993954,STRI2023
Storage and warehouse,EST,0.13107508420944214,0.022849828004837036,STRI2023
Freight-forwarding,EST,0.15272727608680725,0.004848484881222248,STRI2023
Customs brokerage,EST,0.12865911424160004,0.023843247443437576,STRI2023
Market bridging and supporting services,EST,,,STRI2023
Legal services,EST,0.4143781363964081,0.0519261434674263,STRI2023
Accounting services,EST,0.27414470911026,0.0543445348739624,STRI2023
Commercial banking,EST,0.1628865897655487,0.03848797082901001,STRI2023
Insurance,EST,0.058848731219768524,0.014567266218364239,STRI2023
Physical infrastructure services,EST,,,STRI2023
Construction,EST,0.24291381239891052,0.04002441465854645,STRI2023
Architecture services,EST,0.2951115071773529,0.09678909927606583,STRI2023
Engineering services,EST,0.15047340095043182,0.007889990694820881,STRI2023
Digital network,FIN,,,STRI2023
Computer services,FIN,0.21830400824546814,0.01473934669047594,STRI2023
Telecommunication,FIN,0.17658507823944092,0.03821614384651184,STRI2023
Broadcasting,FIN,0.24445965886116028,0.05826987326145172,STRI2023
Motion pictures,FIN,0.19671006500720978,0.010183099657297134,STRI2023
Sound recording,FIN,0.19683480262756348,0.013188262470066547,STRI2023
Logistics and related services,FIN,,,STRI2023
Air transport,FIN,0.4313605725765228,0.15598058700561523,STRI2023
Maritime transport,FIN,0.2590538263320923,0.037846654653549194,STRI2023
Road freight transport,FIN,0.2451462596654892,0.06730519980192184,STRI2023
Rail freight transport,FIN,0.24927443265914917,0.07223476469516754,STRI2023
Courier services,FIN,0.20966053009033203,0.0556519478559494,STRI2023
Distribution services,FIN,0.22835347056388855,0.08502130210399628,STRI2023
Cargo-handling,FIN,0.25513046979904175,0.0729668140411377,STRI2023
Storage and warehouse,FIN,0.23407849669456482,0.08626279979944229,STRI2023
