cou,Sector_name,stri_score,all_average,Grid
"AUS",".",,,"STRI2023"
"AUS","Legal services",.1403131,.3353473,"STRI2023"
"AUS","Road freight transport",.0965571,.2133213,"STRI2023"
"AUS","Rail freight transport",.1367301,.3009113,"STRI2023"
"AUS","Accounting services",.1678777,.3165244,"STRI2023"
"AUS","..............",,,"STRI2023"
"AUS","Insurance",.1686073,.2089682,"STRI2023"
"AUS","Freight-forwarding",.1757576,.2006892,"STRI2023"
"AUS","Architecture services",.2004956,.2262807,"STRI2023"
"AUS","Courier services",.3579918,.2598246,"STRI2023"
"AUS","..",,,"STRI2023"
"AUT",".",,,"STRI2023"
"AUT","Courier services",.1203555,.2598246,"STRI2023"
"AUT","Rail freight transport",.17188,.3009113,"STRI2023"
"AUT","Commercial banking",.1738832,.2254845,"STRI2023"
"AUT","Telecommunication",.1883908,.2288898,"STRI2023"
"AUT","..............",,,"STRI2023"
"AUT","Architecture services",.2640235,.2262807,"STRI2023"
"AUT","Freight-forwarding",.2363636,.2006892,"STRI2023"
"AUT","Broadcasting",.3483358,.2947994,"STRI2023"
"AUT","Engineering services",.2532687,.2072272,"STRI2023"
"AUT","..",,,"STRI2023"
"BEL",".",,,"STRI2023"
"BEL","Legal services",.2045178,.3353473,"STRI2023"
"BEL","Rail freight transport",.213802,.3009113,"STRI2023"
"BEL","Broadcasting",.2246085,.2947994,"STRI2023"
"BEL","Insurance",.1736983,.2089682,"STRI2023"
"BEL","..............",,,"STRI2023"
"BEL","Accounting services",.3887375,.3165244,"STRI2023"
"BEL","Sound recording",.2591493,.1937993,"STRI2023"
"BEL","Computer services",.2709283,.1986697,"STRI2023"
"BEL","Architecture services",.3095292,.2262807,"STRI2023"
"BEL","..",,,"STRI2023"
"BRA",".",,,"STRI2023"
"BRA","Air transport",.2065682,.4015115,"STRI2023"
"BRA","Rail freight transport",.2118672,.3009113,"STRI2023"
"BRA","Architecture services",.1811219,.2262807,"STRI2023"
"BRA","Freight-forwarding",.1769697,.2006892,"STRI2023"
"BRA","..............",,,"STRI2023"
"BRA","Insurance",.3093654,.2089682,"STRI2023"
"BRA","Broadcasting",.4371524,.2947994,"STRI2023"
"BRA","Motion pictures",.3109762,.1948869,"STRI2023"
"BRA","Courier services",.4948331,.2598246,"STRI2023"
"BRA","..",,,"STRI2023"
"CAN",".",,,"STRI2023"
"CAN","Rail freight transport",.1257659,.3009113,"STRI2023"
"CAN","Legal services",.1675883,.3353473,"STRI2023"
"CAN","Storage and warehouse",.1611775,.2236967,"STRI2023"
"CAN","Road freight transport",.156614,.2133213,"STRI2023"
"CAN","..............",,,"STRI2023"
"CAN","Motion pictures",.2019974,.1948869,"STRI2023"
"CAN","Distribution services",.2266639,.1873185,"STRI2023"
"CAN","Telecommunication",.2857859,.2288898,"STRI2023"
"CAN","Courier services",.3656873,.2598246,"STRI2023"
"CAN","..",,,"STRI2023"
"CHE",".",,,"STRI2023"
"CHE","Legal services",.2775331,.3353473,"STRI2023"
"CHE","Rail freight transport",.2508868,.3009113,"STRI2023"
"CHE","Architecture services",.1948637,.2262807,"STRI2023"
"CHE","Distribution services",.1658192,.1873185,"STRI2023"
"CHE","..............",,,"STRI2023"
"CHE","Broadcasting",.3594592,.2947994,"STRI2023"
"CHE","Computer services",.2424793,.1986697,"STRI2023"
"CHE","Freight-forwarding",.2484848,.2006892,"STRI2023"
"CHE","Courier services",.3573706,.2598246,"STRI2023"
"CHE","..",,,"STRI2023"
"CHL",".",,,"STRI2023"
"CHL","Accounting services",.1058129,.3165244,"STRI2023"
"CHL","Legal services",.1215672,.3353473,"STRI2023"
"CHL","Air transport",.150065,.4015115,"STRI2023"
"CHL","Architecture services",.1432755,.2262807,"STRI2023"
