Country_code,Sector,d2014_2024,grid,d2014_2023
RUS,Broadcasting,122.79832458496094,grid2024B,
CZE,Broadcasting,32.23731231689453,grid2024B,
NZL,Broadcasting,26.506019592285156,grid2024B,
KOR,Broadcasting,-9.793821334838867,grid2024B,
PRT,Broadcasting,-13.588632583618164,grid2024B,
IDN,Broadcasting,-13.803133964538574,grid2024B,
THA,Broadcasting,-17.449291229248047,grid2024B,
RUS,Motion pictures,50.64884567260742,grid2024B,
FIN,Motion pictures,45.896881103515625,grid2024B,
CZE,Motion pictures,37.387386322021484,grid2024B,
PRT,Motion pictures,-15.772866249084473,grid2024B,
THA,Motion pictures,-17.579326629638672,grid2024B,
JPN,Motion pictures,-17.997465133666992,grid2024B,
IDN,Motion pictures,-50.68999099731445,grid2024B,
RUS,Sound recording,80.77835083007812,grid2024B,
POL,Sound recording,49.43397903442383,grid2024B,
CZE,Sound recording,33.33334732055664,grid2024B,
THA,Sound recording,-15.280892372131348,grid2024B,
JPN,Sound recording,-20.683452606201172,grid2024B,
BRA,Sound recording,-21.200830459594727,grid2024B,
IDN,Sound recording,-57.097328186035156,grid2024B,
LTU,Construction,37.334373474121094,grid2024B,
RUS,Construction,33.133453369140625,grid2024B,
DNK,Construction,31.743518829345703,grid2024B,
KOR,Construction,-17.184940338134766,grid2024B,
BRA,Construction,-22.436620712280273,grid2024B,
CHN,Construction,-27.739532470703125,grid2024B,
PRT,Construction,-45.65824508666992,grid2024B,
RUS,Courier services,46.123260498046875,grid2024B,
NLD,Courier services,34.44075012207031,grid2024B,
HUN,Courier services,24.721559524536133,grid2024B,
ISL,Courier services,-36.45071792602539,grid2024B,
NOR,Courier services,-39.471221923828125,grid2024B,
IND,Courier services,-50.88238525390625,grid2024B,
KAZ,Courier services,-71.33106231689453,grid2024B,
POL,Computer services,61.743919372558594,grid2024B,
RUS,Computer services,50.54594421386719,grid2024B,
CZE,Computer services,49.00540542602539,grid2024B,
IDN,Computer services,-17.671611785888672,grid2024B,
JPN,Computer services,-17.764015197753906,grid2024B,
EST,Computer services,-22.684654235839844,grid2024B,
BRA,Computer services,-27.52849769592285,grid2024B,
RUS,Distribution services,43.91963577270508,grid2024B,
POL,Distribution services,31.390840530395508,grid2024B,
ZAF,Distribution services,24.591594696044922,grid2024B,
